date,currency,volumes,txs
2024-01-27,GBPe,61.402010000000004,4
2024-01-27,Other,93078.5314879974,74
2024-01-27,USDC,26918.007719819274,54
2024-01-27,USDT,277681.67483897356,316
2024-01-28,EURe,7.604506,1
2024-01-28,Other,4820.298872093427,21
2024-01-28,USDC,136059.65698746903,63
2024-01-28,USDT,452831.2366512477,1175
2024-01-29,EURe,137.92591597999998,1
2024-01-29,GBPe,22.04124552,5
2024-01-29,Other,2614.0041391601308,21
2024-01-29,USDC,49188.45642199999,62
2024-01-29,USDT,923345.87355363,362
2024-01-30,EURe,356.50757725000005,10
2024-01-30,GBPe,42.7190064,2
2024-01-30,Other,7119.995842657817,31
2024-01-30,USDC,120724.96692099998,87
2024-01-30,USDT,434154.1117995571,990
2024-01-31,EURe,199.56559905,6
2024-01-31,GBPe,59.2176966,9
2024-01-31,Other,2665.805977895774,25
2024-01-31,USDC,243083.565853708,95
2024-01-31,USDT,623240.2982032531,1319
2024-02-01,EURe,220.65948658,11
2024-02-01,GBPe,101.72690643000001,7
2024-02-01,Other,35358.70247455019,49
2024-02-01,USDC,62163.49604899629,95
2024-02-01,USDT,576765.2228789692,1125
2024-02-02,EURe,159.77726534,13
2024-02-02,Other,12139.852236495184,37
2024-02-02,USDC,198289.60553200002,99
2024-02-02,USDT,1358805.2811345826,3875
2024-02-03,EURe,386.58808999999997,17
2024-02-03,GBPe,103.65368294999999,5
2024-02-03,Other,4425.817173995446,15
2024-02-03,USDC,42315.576304999995,56
2024-02-03,USDT,543602.3087118899,323
2024-02-04,EURe,343.5018755,10
2024-02-04,GBPe,22.03193456,1
2024-02-04,Other,6623.457743882082,23
2024-02-04,USDC,40436.370198000004,68
2024-02-04,USDT,512176.50465614046,55
2024-02-05,EURe,193.00064399999997,10
2024-02-05,Other,6762.690455952006,32
2024-02-05,USDC,115547.06172412763,74
2024-02-05,USDT,665451.445801409,316
2024-02-06,EURe,459.87373679999996,23
2024-02-06,GBPe,34.3422832,2
2024-02-06,Other,27525.753795995064,35
2024-02-06,USDC,161312.06769599326,99
2024-02-06,USDT,638185.5558804967,1017
2024-02-07,EURe,240.34610873,12
2024-02-07,GBPe,18.26202231,3
2024-02-07,Other,837.3514202187503,23
2024-02-07,USDC,42523.289525,73
2024-02-07,USDT,464619.0489769304,1312
2024-02-08,EURe,309.72982224,12
2024-02-08,GBPe,43.246276249999994,2
2024-02-08,Other,31778.334001448286,66
2024-02-08,USDC,205968.03668600004,106
2024-02-08,USDT,980880.9350026642,4877
2024-02-09,EURe,237.69029310000002,17
2024-02-09,GBPe,122.47301952000001,13
2024-02-09,Other,3988.979994575495,19
2024-02-09,USDC,80989.56244299999,71
2024-02-09,USDT,626198.7323181868,269
2024-02-10,EURe,199.80591365999993,15
2024-02-10,GBPe,57.68931768,7
2024-02-10,Other,896.9646400373724,19
2024-02-10,USDC,58723.72998388965,88
2024-02-10,USDT,554023.9425384167,276
2024-02-11,EURe,470.4233796,12
2024-02-11,GBPe,12.616380990000001,1
2024-02-11,Other,1630.0024308997697,35
2024-02-11,USDC,157382.63919113294,156
2024-02-11,USDT,902913.6274500294,5549
2024-02-12,EURe,418.33844052,15
2024-02-12,GBPe,6.1919879,1
2024-02-12,Other,1924.0606462435019,19
2024-02-12,USDC,297397.2129370142,131
2024-02-12,USDT,804776.5219431316,248
2024-02-13,EURe,685.90895736,27
2024-02-13,GBPe,52.24998805999999,5
2024-02-13,Other,43645.261881575265,43
2024-02-13,USDC,82336.98881400001,89
2024-02-13,USDT,398167.3195112383,297
2024-02-14,EURe,783.7444065000002,28
2024-02-14,GBPe,26.45232535,2
2024-02-14,Other,8410.259147679571,39
2024-02-14,USDC,78499.58075320188,80
2024-02-14,USDT,484743.5377227089,351
2024-02-15,EURe,599.5267436699999,51
2024-02-15,GBPe,35.205769,3
2024-02-15,Other,3589.606790938158,33
2024-02-15,USDC,151795.59933500004,97
2024-02-15,USDT,615048.9497173445,149
2024-02-16,EURe,6551.743820100001,66
2024-02-16,GBPe,57.71432402999999,4
2024-02-16,Other,1871.1244923578386,28
2024-02-16,USDC,130195.60660896878,91
2024-02-16,USDT,767227.2940190168,454
2024-02-17,EURe,1717.5053697900003,86
2024-02-17,GBPe,20.35223,2
2024-02-17,Other,59972.4760784998,77
2024-02-17,USDC,50810.60330040258,102
2024-02-17,USDT,789276.6715394986,985
2024-02-18,EURe,1316.0654722900003,35
2024-02-18,Other,3640.89491071646,34
2024-02-18,USDC,54184.826522051684,80
2024-02-18,USDT,295537.06648733636,1313
2024-02-19,EURe,5249.463678319999,32
2024-02-19,Other,4317.152384958334,30
2024-02-19,USDC,247201.37443199995,115
2024-02-19,USDT,508829.56765884586,620
2024-02-20,EURe,3917.3185216000006,61
2024-02-20,GBPe,31.56965064,4
2024-02-20,Other,8796.432478011848,37
2024-02-20,USDC,80733.43910700003,82
2024-02-20,USDT,559863.9603060203,4043
2024-02-21,EURe,2092.2020955000003,88
2024-02-21,GBPe,4.70910262,1
2024-02-21,Other,11028.226682279876,28
2024-02-21,USDC,64511.427095999985,80
2024-02-21,USDT,589468.2536672276,166
2024-02-22,EURe,3525.4723584600006,70
2024-02-22,GBPe,24.97304368,7
2024-02-22,Other,4778.139991233113,21
2024-02-22,USDC,250356.72270299465,117
2024-02-22,USDT,706377.0882800636,2321
2024-02-23,EURe,3918.596559999999,77
2024-02-23,GBPe,29.94645775,3
2024-02-23,Other,5495.777779358789,25
2024-02-23,USDC,102975.67820264428,93
2024-02-23,USDT,659769.2571933398,250
2024-02-24,EURe,3631.318107999999,114
2024-02-24,GBPe,18.70298525,1
2024-02-24,Other,63886.835097960415,61
2024-02-24,USDC,58512.39833157369,87
2024-02-24,USDT,772423.4807648428,804
2024-02-25,EURe,2082.6634372800004,58
2024-02-25,GBPe,47.990015,2
2024-02-25,Other,4373.953565072947,32
2024-02-25,USDC,79460.89653199997,72
2024-02-25,USDT,867363.9489161617,520
2024-02-26,EURe,2084.4900605400003,61
2024-02-26,GBPe,65.050347,5
2024-02-26,Other,909.4817846493069,23
2024-02-26,USDC,220450.512925,94
2024-02-26,USDT,461097.28135833493,661
2024-02-27,EURe,2434.2468569999987,130
2024-02-27,GBPe,34.15787735,3
2024-02-27,Other,3561.8303537934053,29
2024-02-27,USDC,61325.13874381322,101
2024-02-27,USDT,612991.463255982,8579
2024-02-28,EURe,4060.634489999998,171
2024-02-28,GBPe,63.50279216,3
2024-02-28,Other,13207.93678543246,25
2024-02-28,USDC,40349.94303842211,80
