date,chain,volumes,txs,users,new_users,returning_users,cumulative_users
2023-06-02,Optimism,0.0,0,0,0,0,2
2023-06-02,Polygon,88792.056194,6,2,0,2,5
2023-06-03,Arbitrum,3234.1619119999996,14,1,0,1,3
2023-06-03,Avalanche,189.748149,2,1,0,1,1
2023-06-03,Ethereum,2753.820478,2,1,0,1,3
2023-06-03,Gnosis,0.0,0,0,0,0,2
2023-06-03,Optimism,2977.5,1,1,0,1,2
2023-06-03,Polygon,2988.055143,3,1,0,1,5
2023-06-04,Arbitrum,2717.41979,10,1,0,1,3
2023-06-04,Avalanche,83.276725,2,1,0,1,1
2023-06-04,Ethereum,1565.137671,2,1,0,1,3
2023-06-04,Gnosis,0.0,0,0,0,0,2
2023-06-04,Optimism,3016.027776,1,1,0,1,2
2023-06-04,Polygon,401.247282,2,1,0,1,5
2023-06-05,Arbitrum,6957.956988,7,1,0,1,3
2023-06-05,Avalanche,0.0,0,0,0,0,1
2023-06-05,Ethereum,18993.586263999998,5,1,0,1,3
2023-06-05,Gnosis,0.0,0,0,0,0,2
2023-06-05,Optimism,0.0,0,0,0,0,2
2023-06-05,Polygon,0.0,0,0,0,0,5
2023-06-06,Arbitrum,4338.244202,12,1,0,1,3
2023-06-06,Avalanche,214.895992,1,1,0,1,1
2023-06-06,Ethereum,6811.185144000001,3,1,0,1,3
2023-06-06,Gnosis,0.0,0,0,0,0,2
2023-06-06,Optimism,452.117329,3,1,0,1,2
2023-06-06,Polygon,505.01308700000004,3,1,0,1,5
2023-06-07,Arbitrum,950.0813300000001,7,1,0,1,3
2023-06-07,Avalanche,255.710092,6,1,0,1,1
2023-06-07,Ethereum,9578.037621,6,1,0,1,3
2023-06-07,Gnosis,107.28064,1,1,0,1,2
2023-06-07,Optimism,1222.464549,3,1,0,1,2
2023-06-07,Polygon,5738.183247,2,1,0,1,5
2023-06-08,Arbitrum,3526.4088970000003,5,1,0,1,3
2023-06-08,Avalanche,650.690471,2,1,0,1,1
2023-06-08,Ethereum,1604.284438,3,1,0,1,3
2023-06-08,Gnosis,0.0,0,0,0,0,2
2023-06-08,Optimism,0.0,0,0,0,0,2
2023-06-08,Polygon,99838.427752,10,3,1,2,6
2023-06-09,Arbitrum,5475.494642999999,9,1,0,1,3
2023-06-09,Avalanche,0.0,0,0,0,0,1
2023-06-09,Ethereum,1747.546297,3,1,0,1,3
2023-06-09,Gnosis,80.996087,1,1,0,1,2
2023-06-09,Optimism,347.375,1,1,0,1,2
2023-06-09,Polygon,1886.083071,3,1,0,1,6
2023-06-10,Arbitrum,435.8581720000001,5,1,0,1,3
2023-06-10,Avalanche,0.0,0,0,0,0,1
2023-06-10,Ethereum,2619.094166,3,1,0,1,3
2023-06-10,Gnosis,210.383883,1,1,0,1,2
2023-06-10,Optimism,4352.214764,3,1,0,1,2
2023-06-10,Polygon,129.982763,2,1,0,1,6
2023-06-11,Arbitrum,2275.424925,8,1,0,1,3
2023-06-11,Avalanche,0.0,0,0,0,0,1
2023-06-11,Ethereum,1645.7353719999999,4,1,0,1,3
2023-06-11,Gnosis,0.0,0,0,0,0,2
